,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('CYP', 3)",,,,,,,,,,,12.0,1.219,,,,0.8485,,,1.3381,1.4026061,0.179623,0.7803715,2.8799834,3.351816,,,
"('CYP', 4)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,,1.8348,1.1416209,0.1791626,1.3450181,2.9946992,2.9946992,,,
"('CYP', 5)",,,,,,,,,,,11.5,1.1615,,,,0.8485,,2.257212625,1.8348,0.8438945,0.1324383,0.9942472,2.2137036,2.2137036,,,
"('CYP', 6)",,,,,,,,,0.7751702,,9.7,1.1333,,,,0.8485,,2.307325,1.1619,1.6326359,0.2690088,0.760127,2.0529622,3.3599558,,,
"('CYP', 7)",,,,,,,,,0.8014502,,9.4,1.1333,,,,0.8485,,2.307325,1.1619,1.6879859,0.2781288,0.785897,2.1225622,3.4738658,,,
"('CYP', 8)",0.0804661,0.009249,0.1526081,0.0046245,,,0.2210505,,0.4679981,,9.3,1.1333,0.2284497,0.2284497,0.0971142,0.8485,0.0147984,2.307325,1.1619,1.2689594,0.7695147,0.7547164,1.6278196,3.3222318,,,
"('CYP', 9)",0.0809464,0.0086728,0.1956204,0.0048182,,,0.2206753,,0.5589155,,9.3,0.8979,0.2283845,0.2283845,0.0963647,0.8485,0.0144547,2.307325,1.0098,1.4531804,0.7805545,0.6099889,1.5215994,3.6339147,,,
"('CYP', 10)",0.0435287,0.0098929,0.3690042,0.0821109,,,0.1177252,,0.7152549,,9.1,0.7914,0.2067611,0.1226716,0.1879646,0.8485,0.065293,2.307325,1.0599,1.2257272,0.6648012,0.9922554,1.5165777,3.5762743,,,
"('CYP', 11)",0.0439686,0.0099929,0.3727342,0.0829409,,,0.1189152,,0.7224849,,9.0,0.7914,0.2088511,0.1239116,0.1898646,0.8485,0.065953,2.307325,1.0599,1.2381172,0.6715212,1.0022854,1.5319077,3.6124243,,,
"('CYP', 12)",0.1462065,0.0327175,0.3517136,0.0909957,,,0.0623678,,0.7841986,,8.9,0.7876,0.1237132,0.079749,0.1727895,0.8485,0.1308702,2.249768,0.9899,1.2299751,0.4161262,1.3782265,1.3884507,3.8381767,,,
"('CYP', 13)",0.1604507,0.0359051,0.4117862,0.099861,,,0.067322,,0.7596165,,8.05,0.7057,0.1189355,0.0807864,0.1885016,0.8485,0.2053321,2.249768,0.9257,1.2914602,0.4824743,1.7256871,1.2477009,4.3445126,,,
"('CYP', 14)",0.1604507,0.0359051,0.4117862,0.099861,,,0.067322,,0.7596165,,8.05,0.7057,0.1189355,0.0807864,0.1885016,0.8485,0.2053321,2.249768,0.9257,1.2914602,0.4824743,1.7256871,1.2477009,4.3445126,,,
"('CYP', 15)",0.1697443,0.0379847,0.4320764,0.1056451,,,0.0712214,,0.7941185,,7.4,0.7029,0.1293855,0.0878397,0.1994199,0.8485,0.2279085,2.249768,0.9286,1.3021645,0.5009238,1.8292028,1.3638897,4.6175202,,,
"('CYP', 16)",0.2006069,0.0439199,0.4380116,0.104458,,,0.2338436,,0.7727521,,7.4,0.7029,0.1139542,0.0735954,0.2682672,0.8485,0.256397,2.249768,0.9286,1.1336072,0.3988398,2.0737295,1.2368782,4.5225584,,,
