,growth_collection,processing,preparation,material,energy,things,buildings,infrastructure,inhabited,waste,sleep,hygiene_grooming,childcare,adultcare,moving_things,moving_people,organization,education,meals,active_recreation,religious,social,interactive,passive,work_employed,work_other,unknown
"('ATG', 17)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('ATG', 18)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 0)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BHS', 1)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BHS', 2)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BHS', 3)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BHS', 4)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BHS', 5)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 6)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 7)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 8)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 9)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 10)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 11)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 12)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 13)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 14)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 15)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 16)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 17)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('BHS', 18)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 0)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BRB', 1)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BRB', 2)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BRB', 3)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BRB', 4)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('BRB', 5)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 6)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 7)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 8)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 9)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 10)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 11)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 12)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 13)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 14)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 15)",0.000350603029515,0,0,5.49067777842e-05,0,5.49067777842e-05,5.49067777842e-05,0,7.6790175102e-06,0,0,0,0,0,0,0,1.53580350204e-05,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 16)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 17)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('BRB', 18)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.413917,0,0,0,0,0,0,0,0,0
"('CUB', 0)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('CUB', 1)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
"('CUB', 2)",0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,,0,0,0,0,0,0,0,0,0
